atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2007-07-31,2007-08-02,0,0.75,0.75,0.76,0.74,0.76,3072000,2311380,0.75240234,7.2795,7.2795,7.37656,7.18244,7.37656,316505,7.30282,0.01351
2007-07-30,2007-08-01,0,0.74,0.72,0.74,0.72,0.75,2218000,1625840,0.73302074,7.18244,6.98832,7.18244,6.98832,7.2795,228518,7.1147,0
2007-07-27,2007-07-31,0,0.74,0.73,0.74,0.73,0.77,3514000,2630580,0.74859989,7.18244,7.08538,7.18244,7.08538,7.47362,362044,7.26591,-0.02632
2007-07-26,2007-07-30,0,0.76,0.76,0.77,0.74,0.79,7366000,5691000,0.77260386,7.37656,7.37656,7.47362,7.18244,7.66774,758912,7.4989,0
2007-07-25,2007-07-27,0,0.76,0.76,0.77,0.69,0.77,9534000,7107500,0.74548983,7.37656,7.37656,7.47362,6.69714,7.47362,982279,7.23573,0.10145
2007-07-24,2007-07-26,0,0.69,0.68,0.69,0.67,0.7,4012000,2764440,0.68904287,6.69714,6.60008,6.69714,6.50302,6.7942,413352,6.68785,0.01471
2007-07-23,2007-07-25,0,0.68,0.67,0.69,0.65,0.7,8316000,5544520,0.6667292,6.60008,6.50302,6.69714,6.3089,6.7942,856789,6.47128,-0.04225
2007-07-20,2007-07-24,0,0.71,0.71,0.72,0.69,0.74,5692000,4026900,0.70746662,6.89126,6.89126,6.98832,6.69714,7.18244,586441,6.86667,-0.04054
2007-07-19,2007-07-23,0,0.74,0.73,0.74,0.73,0.76,3520000,2622240,0.74495455,7.18244,7.08538,7.18244,7.08538,7.37656,362662,7.23053,0
2007-07-18,2007-07-20,0,0.74,0.74,0.75,0.74,0.77,5696000,4310460,0.75675211,7.18244,7.18244,7.2795,7.18244,7.47362,586853,7.34504,-0.01333
2007-07-17,2007-07-19,0,0.75,0.74,0.75,0.73,0.89,21102000,16214400,0.76838214,7.2795,7.18244,7.2795,7.08538,8.63834,2174118,7.45792,-0.16667
2007-07-16,2007-07-18,0,0.9,0.9,0.91,0.87,0.91,3868000,3441640,0.88977249,8.7354,8.7354,8.83246,8.44422,8.83246,398516,8.63614,-0.01099
2007-07-13,2007-07-17,0,0.91,0.91,0.92,0.91,0.98,9366000,8786820,0.93816143,8.83246,8.83246,8.92952,8.83246,9.51188,964970,9.1058,-0.05208
2007-07-12,2007-07-16,0,0.96,0.95,0.96,0.89,0.96,15032000,13871340,0.92278739,9.31776,9.2207,9.31776,8.63834,9.31776,1548732,8.95658,0.09091
2007-07-11,2007-07-13,0,0.88,0.87,0.88,0.87,0.9,2958000,2614160,0.8837593,8.54128,8.44422,8.54128,8.44422,8.7354,304760,8.57777,-0.01124
